11	7	4	5	3	3	2	2	2	2	1
38	22	10	7	4	3	3	2	2	2	1
73	60	29	13	7	5	3	2	1	2	2
69	69	52	29	12	7	4	3	2	1	2
62	66	66	59	27	11	7	3	2	2	2
66	60	60	66	62	25	8	4	2	2	2
58	54	56	62	74	42	13	6	3	2	2
49	49	51	54	58	50	25	9	5	3	2
45	44	48	51	52	61	49	16	5	3	2
45	49	47	47	47	54	64	32	9	4	3
45	50	49	47	52	55	64	48	14	5	3
